trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,1,-50.130506798531904,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.12314144129724,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,3,-88.1930406146623,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-44.75600187153148,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.54062721461473,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.66707778139647,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-111.67596697782334,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.35359212618675,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-112.99708119811113,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.173233451546906,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.75093117454568,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-198.12278383918408,"{0: 16, 1: 5, 2: 11, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.05167805343029,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.770391901889276,"{0: 19, 1: 4, 2: 0, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.16486186864331,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-253.87995330734097,"{0: 9, 1: 3, 2: 7, 3: 3, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.64507736223703,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.4173004677791,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.56240469864942,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,8,-81.1319899018121,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 1}",1
21,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.38938208617239,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.26433911244925,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 1.0}",20,0,-182.3568848887715,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.19479560739457,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 1.0}",20,0,-82.6723812678928,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.89574571542497,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
27,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.31906637872873,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
28,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.4933525654834,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.40915425277063,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 1.0}",30,0,-98.73382539199264,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
31,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.75412437416772,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.75878765983698,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.6006271127438,"{0: 10, 1: 2, 2: 5, 3: 3, 4: 0}",0
34,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.16475062940793,"{0: 14, 1: 5, 2: 8, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.03294344940913,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.70148736568147,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.8915787986672,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.1624298628197,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
39,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.8379021089167,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.29343320368918,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
41,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.36555925395178,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 1.0}",20,0,-166.70208579162048,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
