trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.6216099682706645}",20,0,-85.12929327957762,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.9, 'e': -0.2272020946930871}",20,0,-128.3466861966838,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.9, 'e': -0.9040721420170612}",35,0,-147.7976718236734,"{0: 24, 1: 2, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.9, 'e': -0.896758416334147}",20,0,-50.490533448338994,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.9, 'e': -0.21079579943077972}",25,18,9.292531732044857,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.9, 'e': 0.6346928759426346}",20,0,-79.04390148934684,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
7,False,"{'a': 0.9, 'e': 0.9998586363834151}",20,0,-100.11926549399794,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.6083513145322546}",30,0,-80.56334564589484,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.9, 'e': -0.2435441537357911}",35,28,8.918825136684234,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.9, 'e': -0.9111302618846769}",20,0,-63.60877481835621,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.9, 'e': -0.8891911526253609}",20,0,-42.140711852492316,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.9, 'e': -0.1943299064553348}",25,9,-79.44897562677892,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
13,False,"{'a': 0.9, 'e': 0.6475963386538773}",25,0,-281.80138074376646,"{0: 10, 1: 2, 2: 6, 3: 3, 4: 4}",0
14,False,"{'a': 0.9, 'e': 0.9994345855010047}",20,0,-95.31067148581867,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.9, 'e': 0.594920663309892}",25,0,-47.44455905863225,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.9, 'e': -0.25981735621375585}",20,0,-15.434192517034457,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.9, 'e': -0.9179307804142933}",20,15,-14.632156772749783,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
18,False,"{'a': 0.9, 'e': -0.8813724903622346}",20,0,-21.05392679787428,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.9, 'e': -0.17780907112311564}",20,0,-26.248829554627306,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.9, 'e': 0.6603167082440802}",25,0,-73.63488468687399,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
21,False,"{'a': 0.9, 'e': 0.9987279672435014}",30,15,-68.24049491156951,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
22,False,"{'a': 0.9, 'e': 0.5813218118144357}",25,1,-106.38360147987865,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 1}",1
23,False,"{'a': 0.9, 'e': -0.27601710124946705}",25,0,6.71088529297067,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-0.3063835252202102,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,3,29.5407169057008,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,-84.12972097916402,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,6,-104.13482976280572,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 3}",1
5,True,"{'a': 0, 'e': 0}",20,8,-1.2715285747811393,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-51.746465952431336,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-8.803432574103155,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",30,16,11.326448469500646,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,19,17.359817321975935,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-22.074592865192074,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
