trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5403023058681398}",30,0,-168.55466330569152,"{0: 16, 1: 2, 2: 8, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': -0.4161468365471424}",20,0,-77.0348972983052,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': -0.9899924966004454}",35,3,-152.36104797181608,"{0: 19, 1: 2, 2: 9, 3: 0, 4: 2}",1
4,False,"{'a': 0.5, 'e': -0.6536436208636119}",25,0,-149.87152392894487,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.2836621854632263}",20,0,-29.467175114924252,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9601702866503661}",25,0,-225.18974389375202,"{0: 14, 1: 2, 2: 3, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.7539022543433046}",25,0,-139.0484314660746,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': -0.14550003380861354}",25,0,-178.9613230711215,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': -0.9111302618846769}",25,0,-145.83914921513906,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': -0.8390715290764524}",30,0,-204.65660807661072,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.004425697988050786}",20,0,-122.21684281900234,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8438539587324921}",20,0,-132.3724274899155,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9074467814501962}",20,0,-45.81948501048658,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.1367372182078336}",20,0,-61.441520937712674,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': -0.7596879128588212}",20,0,-46.92485675152282,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': -0.9576594803233847}",30,15,-38.71254708875235,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
17,False,"{'a': 0.5, 'e': -0.27516333805159693}",25,0,-43.59672764798477,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.6603167082440802}",25,0,-154.67287409321807,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9887046181866692}",20,11,-20.18912599263002,"{0: 5, 1: 2, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.40808206181339196}",30,0,-60.181067472086674,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-128.84171281773465,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-76.86640831955964,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,2,-139.42929918518894,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 2}",1
4,True,"{'a': 0, 'e': 0}",20,0,-114.18452225373497,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,11,-70.74786384410831,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,-124.64233044838369,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
